Movie Name,Rank,Year,Rating,Tagline,Movie Budget,Gross Budget
Sound of Metal (2019) ,1,2020,7.8,Music was his world. Then silence revealed a new one.,N/A,3237
The Outpost (2019) ,2,2020,6.8,The mission was survival.,18000000,2075693
Extraction (2020) ,3,2020,6.7,N/A,N/A,N/A
Onward (2020) ,4,2020,7.4,Cometh Soon.,N/A,141719061
Beastie Boys Story (2020) ,5,2020,7.8,N/A,N/A,N/A
Da 5 Bloods (2020) ,6,2020,6.5,N/A,N/A,N/A
Love and Monsters (2020) ,7,2020,7,N/A,N/A,1070714
The Devil All the Time (2020) ,8,2020,7.1,Some people are just born to be buried.                ,N/A,N/A
Impetigore (2019) ,9,2020,6.7,N/A,N/A,N/A
7500 (2019) ,10,2020,6.3,N/A,N/A,N/A
Run (2020) ,11,2020,6.7,You Can't Escape a Mother's Love,N/A,2178316
The Half of It (2020) ,12,2020,6.9,a different kind of love story,N/A,N/A
American Murder: The Family Next Door (2020) ,13,2020,7.2,N/A,N/A,N/A
Never Rarely Sometimes Always (2020) ,14,2020,7.3,N/A,N/A,298351
The Trial of the Chicago 7 (2020) ,15,2020,7.8,"In 1968, democracy refused to back down.",N/A,24357
The Gentlemen (2019) ,16,2020,7.8,Criminal. Class.,22000000,115171795
The Social Dilemma (2020) ,17,2020,7.7,The technology that connects us also controls us.,N/A,N/A
The Platform (2019) ,18,2020,7,N/A,N/A,1090116
Alone (2020) ,19,2020,6.2,What Are You Running From?,N/A,671202
The Way Back (2020) ,20,2020,6.7,Every loss is another fight.,N/A,14690514
The Invisible Man (2020) ,21,2020,7.1,What You Can't See Can Hurt You,7000000,142803000
Possessor (2020) ,22,2020,6.4,No Body is Safe,N/A,872555
Tenet (2020) ,23,2020,7.6,Time Runs Out,205000000,361300000
I'm Thinking of Ending Things (2020) ,24,2020,6.7,N/A,N/A,N/A
Mank (2020) ,25,2020,7.3,N/A,N/A,83469
The Boys in the Band (2020) ,26,2020,6.8,N/A,N/A,N/A
The Prom (2020) ,27,2020,6.3,Everyone deserves a chance to celebrate.                ,N/A,143669
Big Time Adolescence (2019) ,28,2020,7,Under His Influence,N/A,N/A
The Vast of Night (2019) ,29,2020,6.7,N/A,N/A,N/A
Disclosure (2020) ,30,2020,8.3,N/A,N/A,N/A
Becky (2020) ,31,2020,5.8,There once was a little girl...,N/A,1045873
On the Rocks (2020) ,32,2020,6.5,N/A,N/A,992103
1BR (2019) ,33,2020,5.8,Welcome to the neighborhood,N/A,11200
The Old Guard (2020) ,34,2020,6.6,Whatever it takes.                ,N/A,N/A
Enola Holmes (2020) ,35,2020,6.6,Mystery runs in the family                ,N/A,N/A
Spree (2020) ,36,2020,5.8,N/A,N/A,43840
Bad Hair (2020) ,37,2020,5.5,N/A,N/A,N/A
Happiest Season (2020) ,38,2020,6.7,"This holiday, everyone's secrets are coming out.                ",N/A,1028979
Host (2020) ,39,2020,6.6,Someone new has joined the meeting,N/A,43808
Palm Springs (2020) ,40,2020,7.4,Live Like There's No Tomorrow,N/A,765535
Bad Boys for Life (2020) ,41,2020,6.6,Ride Together. Die Together.,90000000,426505244
Blow the Man Down (2019) ,42,2020,6.4,N/A,N/A,N/A
Bad Education (2019) ,43,2020,7.1,Some People Learn the Hard Way,N/A,N/A
The Hunt (2020) ,44,2020,6.5,The Most Talked About Movie of the Year is One That No One's Actually Seen,14000000,11148678
#Alive (2020) ,45,2020,6.2,You Must Survive,N/A,13416285
The King of Staten Island (2020) ,46,2020,7.1,N/A,N/A,2202165
Over the Moon (2020) ,47,2020,6.5,N/A,N/A,N/A
All the Bright Places (2020) ,48,2020,6.5,Live Life at Full Brightness,N/A,N/A
Horse Girl (2020) ,49,2020,5.9,N/A,N/A,N/A
Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn (2020) ,50,2020,6.1,Mayhem at its finest!                ,84500000,201858461
Parasite (2019) ,1,2019,8.6,Act like you own the place (USA)                ,11400000,258580423
Uncut Gems (2019) ,2,2019,7.4,N/A,19000000,50023780
Portrait of a Lady on Fire (2019) ,3,2019,8.1,N/A,N/A,9919850
Midsommar (2019) ,4,2019,7.1,Let the festivities begin,9000000,47903099
Joker (2019) ,5,2019,8.5,Put on a happy face.,55000000,1074251311
The Farewell (2019) ,6,2019,7.6,Based on an Actual Lie,N/A,22990556
First Love (2019) ,7,2019,6.8,N/A,N/A,472059
Waves (2019) ,8,2019,7.6,N/A,6000000,2568829
Les Misérables (2019) ,9,2019,7.6,N/A,N/A,19089674
Ford v Ferrari (2019) ,10,2019,8.1,They took the American dream for a ride.                ,97600000,225508210
Marriage Story (2019) ,11,2019,8,"Where there's a love, there's a way.",18600000,333686
Hotel Mumbai (2018) ,12,2019,7.6,The gripping true story of the attack on the Taj Hotel                ,N/A,21314816
System Crasher (2019) ,13,2019,7.8,N/A,N/A,546444
El Camino: A Breaking Bad Movie (2019) ,14,2019,7.3,N/A,N/A,N/A
The Peanut Butter Falcon (2019) ,15,2019,7.6,N/A,6200000,133031473
I Lost My Body (2019) ,16,2019,7.6,An extraordinary journey in self-discovery.,N/A,1136431
The Irishman (2019) ,17,2019,7.9,Time Changes Nothing                ,159000000,968853
1917 (2019) ,18,2019,8.3,Time is the enemy.,95000000,384131585
Ad Astra (2019) ,19,2019,6.5,The Answers We Seek Are Just Outside Our Reach,90000000,127461872
Doctor Sleep (2019) ,20,2019,7.3,The World will Shine Again.                ,45000000,72381712
Just Mercy (2019) ,21,2019,7.6,This is about all of us.                ,25000000,50401502
The Nightingale (2018) ,22,2019,7.3,1820's Tasmania. A young Irish convict seeks revenge.                ,N/A,855756
The Art of Self-Defense (2019) ,23,2019,6.7,N/A,N/A,2414269
Shazam! (2019) ,24,2019,7.1,"If you want to save the world, say the magic word.                ",100000000,365971656
Honey Boy (2019) ,25,2019,7.3,N/A,N/A,3400977
Dolemite Is My Name (2019) ,26,2019,7.3,Make your own legend.,N/A,N/A
"Love, Antosha (2019) ",27,2019,8.1,"The extraordinary, unfinished life of Anton Yelchin",N/A,62900
Queen & Slim (2019) ,28,2019,7.1,N/A,18000000,47803176
Arctic (2018) ,29,2019,6.8,Survival is his only option.                ,2000000,4144008
Furie (2019) ,30,2019,6.3,She will never stop,N/A,5756185
The Lighthouse (2019) ,31,2019,7.5,The light has its mysteries.                ,N/A,18113964
Triple Frontier (2019) ,32,2019,6.4,N/A,N/A,N/A
Richard Jewell (2019) ,33,2019,7.5,The world will know his name and the truth.                ,45000000,43745542
Little Monsters (2019) ,34,2019,6.3,Playtime is over.,N/A,97111
Luce (2019) ,35,2019,6.7,The Truth Has Many Faces,N/A,2268204
The King (2019) ,36,2019,7.2,N/A,N/A,126931
Come to Daddy (2019) ,37,2019,6,N/A,N/A,117947
Monos (2019) ,38,2019,7,N/A,N/A,1929915
Us (2019) ,39,2019,6.9,"Two Years Ago, Jordan Peele Redefined the Genre with ""Get Out."" On March 22, Discover His New Nightmare.                ",20000000,255184580
Knives Out (2019) ,40,2019,7.9,"Hell, any of them could have done it.                ",40000000,311398301
Villains (2019) ,41,2019,6.2,Two bad people are about to meet two worse people.,N/A,N/A
Spider-Man: Far from Home (2019) ,42,2019,7.5,N/A,160000000,1131927996
Avengers: Endgame (2019) ,43,2019,8.4,Part of the journey is the end.                ,356000000,2797800564
High Flying Bird (2019) ,44,2019,6.2,Play the Game on top of the Game,2000000,N/A
I Am Mother (2019) ,45,2019,6.7,She'll keep you safe,N/A,643593
Fighting with My Family (2019) ,46,2019,7.1,A Comedy About a Family That Fights a Little Differently                ,11000000,40811919
Booksmart (2019) ,47,2019,7.2,Getting Straight A's. Giving Zero F's.,6000000,24863452
John Wick: Chapter 3 - Parabellum (2019) ,48,2019,7.4,"This Friday, Wick is Back                ",75000000,326709727
Godzilla: King of the Monsters (2019) ,49,2019,6,One King To Rule Them All                ,170000000,386600138
Always Be My Maybe (2019) ,50,2019,6.8,There's Always Been Something Between Them,N/A,N/A
Avengers: Infinity War (2018) ,1,2018,8.4,Destiny arrives.                ,321000000,2048359754
The Favourite (2018) ,2,2018,7.5,N/A,15000000,95918706
Eighth Grade (2018) ,3,2018,7.4,Based on the most awkward year of your life,2000000,14347433
A Star Is Born (2018) ,4,2018,7.6,N/A,36000000,436188866
Hereditary (2018) ,5,2018,7.3,Every family tree hides a secret.                ,10000000,80239658
A Quiet Place (2018) ,6,2018,7.5,"If they hear you, they hunt you.                ",17000000,340952971
BlacKkKlansman (2018) ,7,2018,7.5,Based on a true story.                ,15000000,93400823
Mission: Impossible - Fallout (2018) ,8,2018,7.7,Some missions are not a choice.,178000000,791120426
Spider-Man: Into the Spider-Verse (2018) ,9,2018,8.4,Enter a universe where more than one wears the mask.                ,90000000,375540831
Aquaman (2018) ,10,2018,6.9,He's not from around here.                ,160000000,1148485886
Bad Times at the El Royale (2018) ,11,2018,7.1,Seven strangers. Seven secrets. All roads lead here.,32000000,31882724
If Beale Street Could Talk (2018) ,12,2018,7.1,Trust Love All the Way,12000000,20596567
Deadpool 2 (2018) ,13,2018,7.7,The second coming.                ,110000000,785794344
Beautiful Boy (2018) ,14,2018,7.3,See the Movie. Start the Conversation. The Time is Now.                ,25000000,16636604
Vice (2018) ,15,2018,7.2,The Untold True Story That Changed the Course of History.                ,60000000,76073488
First Reformed (2017) ,16,2018,7.1,"Forgive us, for we have sinned.                ",N/A,3862498
Blindspotting (2018) ,17,2018,7.4,Change The Way You See.                ,N/A,5006989
Annihilation (2018) ,18,2018,6.8,Fear What's Inside                ,40000000,43070915
Upgrade (2018) ,19,2018,7.5,Not Man. Not Machine. More.,5000000,16706680
Incredibles 2 (2018) ,20,2018,7.6,Suit up.                ,200000000,1242805359
Black Panther (2018) ,21,2018,7.3,His father's legacy. His people's rage. Her king's love. Her nation's honor. His country's orders. His nation's security. His enemy's revenge. Her son's survival. His king's commands. Her brother's keeper. His people's pride.                ,200000000,1347598739
The Old Man & the Gun (2018) ,22,2018,6.7,It's not about making a living. It's about living.                ,N/A,17860397
"Don't Worry, He Won't Get Far on Foot (2018) ",23,2018,6.9,Don't just sit there. Do nothing.,N/A,4241656
Sorry to Bother You (2018) ,24,2018,6.9,N/A,3200000,18170707
Mid90s (2018) ,25,2018,7.4,Fall. Get back up.,1700000,9303022
Can You Ever Forgive Me? (2018) ,26,2018,7.1,Her greatest work will be her biggest crime.,10000000,12442161
Instant Family (2018) ,27,2018,7.3,Just add chaos laughter awkwardness mistakes love.,48000000,120556201
Ant-Man and the Wasp (2018) ,28,2018,7.1,Real heroes. Not actual size.,162000000,622674139
Widows (2018) ,29,2018,6.9,Left with nothing. Capable of anything.,42000000,75984700
The Mule (2018) ,30,2018,7,Inspired by a True Story                ,50000000,174804407
You Were Never Really Here (2017) ,31,2018,6.8,Bring the hammer.,N/A,9360514
Boy Erased (2018) ,32,2018,6.9,The Truth Cannot Be Converted,11000000,11853081
Ben Is Back (2018) ,33,2018,6.7,One family. One day.,13000000,10134204
Bird Box (2018) ,34,2018,6.6,Never Lose Sight of Survival,N/A,N/A
Sicario: Day of the Soldado (2018) ,35,2018,7.1,Witness the next chapter of the Sicario saga.                ,35000000,75837743
"Love, Simon (2018) ",36,2018,7.6,Experience a love story that must come out.                ,17000000,66316289
Green Book (2018) ,37,2018,8.2,Inspired by a True Friendship,23000000,321752656
Creed II (2018) ,38,2018,7.1,The Legacy Continues.                ,50000000,214215889
White Boy Rick (2018) ,39,2018,6.5,Based on the true story.                ,29000000,25957482
Hostiles (2017) ,40,2018,7.2,We are all... Hostiles.,39000000,35669017
Bohemian Rhapsody (2018) ,41,2018,8,The only thing more extraordinary than their music is his story                ,52000000,903976359
Ready Player One (2018) ,42,2018,7.5,Break Free                ,175000000,582893671
Game Night (2018) ,43,2018,6.9,This is not a game.,37000000,117679066
Mandy (2018) ,44,2018,6.5,N/A,6000000,1542221
Solo: A Star Wars Story (2018) ,45,2018,6.9,Never tell him the odds.,275000000,392924807
The Meg (2018) ,46,2018,5.6,The most feared predator in history...is no longer history.                ,130000000,530259473
Tag (2018) ,47,2018,6.5,Based on a True Story. We're Not Kidding.,28000000,78130625
Blockers (2018) ,48,2018,6.2,Parents Can Be Such....                ,21000000,94019120
Mile 22 (2018) ,49,2018,6.1,90 minutes. 22 miles. Zero back up.                ,50000000,66308758
"Three Billboards Outside Ebbing, Missouri (2017) ",1,2017,8.2,N/A,15000000,160192031
Get Out (2017) ,2,2017,7.7,"Just because you're invited, doesn't mean you're welcome.                ",4500000,255446148
The Florida Project (2017) ,3,2017,7.6,Find Your Kingdom.                ,2000000,10971298
John Wick: Chapter 2 (2017) ,4,2017,7.5,The Only Way Out Is Back In.                ,40000000,171547802
Lady Bird (2017) ,5,2017,7.4,Fly away home.                ,10000000,78965611
The Shape of Water (2017) ,6,2017,7.3,Experience a connection beyond words.                ,19400000,195333312
Mother! (2017) ,7,2017,6.6,seeing is believing,30000000,44516999
Good Time (2017) ,8,2017,7.4,Are you ready for a Good Time?,4500000,3283369
Split (2016) ,9,2017,7.3,Kevin has 23 distinct personalities. The 24th is about to be unleashed.,9000000,278454417
Logan (2017) ,10,2017,8.1,His time has come                ,97000000,619021436
Call Me by Your Name (2017) ,11,2017,7.9,Is it better to speak or die?,EUR4000000,41888346
Brawl in Cell Block 99 (2017) ,12,2017,7.1,N/A,N/A,64453
Star Wars: Episode VIII - The Last Jedi (2017) ,13,2017,7,Always in Motion is the Future                ,317000000,1332697499
The Disaster Artist (2017) ,14,2017,7.4,N/A,10000000,29820616
Blade Runner 2049 (2017) ,15,2017,8,The key to the future is finally unearthed.,150000000,259239658
War for the Planet of the Apes (2017) ,16,2017,7.4,For freedom. For family. For the planet.,150000000,490719763
Thor: Ragnarok (2017) ,17,2017,7.9,Thunder Will Reign.                ,180000000,853983829
Baby Driver (2017) ,18,2017,7.6,All you need is one killer track.                ,34000000,226945087
Logan Lucky (2017) ,19,2017,7,2 Brothers. 3 arms. 1 incredible plan.                ,29000000,48453605
Detroit (2017) ,20,2017,7.3,Now More Than Ever.                ,34000000,23355100
Ingrid Goes West (2017) ,21,2017,6.6,She'll Follow You,N/A,3146831
American Made (2017) ,22,2017,7.2,Based on a True Lie                ,50000000,134866593
Dunkirk (2017) ,23,2017,7.9,We Shall Never Surrender.                ,100000000,526949403
"I, Tonya (2017) ",24,2017,7.5,Fitting in is overrated                ,11000000,53939297
Wind River (2017) ,25,2017,7.7,This is the land of you're on your own.                ,11000000,43980821
Spider-Man: Homecoming (2017) ,26,2017,7.4,Homework can wait. The city can't.,175000000,880166924
The Big Sick (2017) ,27,2017,7.5,An Awkward True Story,5000000,56411585
Jumanji: Welcome to the Jungle (2017) ,28,2017,6.9,Landing This Christmas.                ,90000000,962102719
Colossal (2016) ,29,2017,6.2,An Uncontrollable Monster.                ,15000000,4531320
Wonder (2017) ,30,2017,8,Choose kind                ,20000000,305940606
The Killing of a Sacred Deer (2017) ,31,2017,7,N/A,N/A,7027336
The Meyerowitz Stories (2017) ,32,2017,6.9,N/A,N/A,N/A
Battle of the Sexes (2017) ,33,2017,6.7,He made a bet. She made history.,25000000,18598607
War Machine (2017) ,34,2017,6,We're gonna liberate the shit out of you.                ,60000000,N/A
The Beguiled (2017) ,35,2017,6.3,"Innocent, until betrayed.",10500000,27869129
It (2017) ,36,2017,7.3,It Takes Many Forms                ,35000000,701796444
Brad's Status (2017) ,37,2017,6.5,The success you've been searching for may be right next to you.,N/A,3816527
Stronger (2017) ,38,2017,6.9,Based On The Inspiring True Story.                ,30000000,8503658
Patti Cake$ (2017) ,39,2017,6.8,N/A,N/A,1482356
Guardians of the Galaxy Vol. 2 (2017) ,40,2017,7.6,You only get one chance to save the galaxy twice.                ,200000000,863756051
The Lego Batman Movie (2017) ,41,2017,7.3,From the team that assembled The Lego Movie                ,80000000,311950384
Atomic Blonde (2017) ,42,2017,6.7,Talents can be overrated.,30000000,100014025
Wakefield (2016) ,43,2017,6.3,What would your life be like without you?,N/A,798214
Beauty and the Beast (2017) ,44,2017,7.1,Experience the tale as old as time.                ,160000000,1264064386
Brigsby Bear (2017) ,45,2017,7.3,N/A,N/A,681632
Kong: Skull Island (2017) ,46,2017,6.6,We don't belong here                ,185000000,566652812
Alien: Covenant (2017) ,47,2017,6.4,Run                ,97000000,240891763
Goodbye Christopher Robin (2017) ,48,2017,7.1,From a child's imagination to a worldwide phenomenon.                ,N/A,7401949
Victoria & Abdul (2017) ,49,2017,6.8,An extraordinary tale of a queen and her new best friend.                ,21000000,66558465
Suburbicon (2017) ,50,2017,5.7,A little slice of heaven.                ,25000000,12751667
Captain Fantastic (2016) ,1,2016,7.9,He Prepared Them For Everything Except The Outside World                ,N/A,23123592
La La Land (2016) ,2,2016,8,Here's to the fools who dream.,30000000,447408519
Hacksaw Ridge (2016) ,3,2016,8.1,Based on the incredible true story.                ,40000000,180450918
Lion (2016) ,4,2016,8,The true story of a life lost and found                ,12000000,140312928
Hell or High Water (2016) ,5,2016,7.6,Blood always follows money.                ,12000000,37879877
The Witch (2015) ,6,2016,6.9,Evil Takes Many Forms.                ,4000000,40423945
The Jungle Book (2016) ,7,2016,7.4,The legend will never be the same.,175000000,966554929
Deadpool (2016) ,8,2016,8,Size matters                ,58000000,782612155
Moonlight (2016) ,9,2016,7.4,This is the story of a lifetime.,4000000,65336603
Other People (2016) ,10,2016,6.8,N/A,N/A,91441
Zootopia (2016) ,11,2016,8,Welcome to the urban jungle.,150000000,1023792209
Nocturnal Animals (2016) ,12,2016,7.5,When you love someone you can't just throw it away,22500000,30311857
Train to Busan (2016) ,13,2016,7.6,Escape from the zombies! Get on board to stay alive!                ,KRW10000000000,92754562
Don't Breathe (2016) ,14,2016,7.1,In the dark the blind man is king.                ,9900000,157830487
Sing Street (2016) ,15,2016,7.9,Boy meets girl. Girl unimpressed. Boy starts band.,N/A,13624522
Doctor Strange (2016) ,16,2016,7.5,Open your mind. Change your reality.                ,165000000,677796076
The Conjuring 2 (2016) ,17,2016,7.3,The next true story from the case files of Ed and Lorraine Warren,40000000,320392818
The Distinguished Citizen (2016) ,18,2016,7.5,N/A,N/A,4525656
Your Name. (2016) ,19,2016,8.4,"Gestern, heute und für immer. (Germany/Austria)                ",JPY370000000,358922706
Maudie (2016) ,20,2016,7.6,Based On A True Story                ,EUR4993020,9733932
Miss Peregrine's Home for Peculiar Children (2016) ,21,2016,6.7,Embrace the peculiar.                ,110000000,296482446
Eddie the Eagle (2015) ,22,2016,7.4,Landing in cinemas April 1                ,23000000,46152800
Elle (2016) ,23,2016,7.1,Electrifying... Utterly Gripping!                ,EUR9000000,12748594
Julieta (2016) ,24,2016,7.1,N/A,EUR1350000,22468044
Manchester by the Sea (2016) ,25,2016,7.8,Heartbreaking and Heart-warming. Packs an emotional wallop!                ,9000000,78988148
Dangal (2016) ,26,2016,8.4,You think our girls are any lesser than boys?,INR700000000,303723636
10 Cloverfield Lane (2016) ,27,2016,7.2,Monsters come in many forms                ,15000000,110216998
Hidden Figures (2016) ,28,2016,7.8,"Meet the women you don't know, behind the mission you do.                ",25000000,235956898
Florence Foster Jenkins (2016) ,29,2016,6.8,Every voice deserves to be heard.                ,29000000,49052787
The Invisible Guest (2016) ,30,2016,8.1,"Every story has two sides. The truth, only one.",EUR4000000,31191910
I'm Gilda (2016) ,31,2016,6.9,Natalia Oreiro es... [Natalia Oreiro is...]                ,N/A,4711955
Deepwater Horizon (2016) ,32,2016,7.1,Inspired by a true story of real life heroes                ,110000000,121790373
The Edge of Seventeen (2016) ,33,2016,7.3,You're only young once... is it over yet?,9000000,19370020
The Magnificent Seven (2016) ,34,2016,6.9,Justice has a number.,90000000,162360636
The Shallows (2016) ,35,2016,6.3,Not just another day at the beach.                ,17000000,119100758
X-Men: Apocalypse (2016) ,36,2016,6.9,Destroy                ,178000000,543934105
Hush (2016) ,37,2016,6.6,Silence can be killer.,1000000,N/A
Captain America: Civil War (2016) ,38,2016,7.8,Whose side are you on?                ,250000000,1153332120
¿Qué culpa tiene el niño? (2016) ,39,2016,6.6,N/A,N/A,14490880
War Dogs (2016) ,40,2016,7.1,"Money, corruption and the American dream                ",40000000,86234523
A Monster Calls (2016) ,41,2016,7.5,Courage conquers all.                ,43000000,47309313
"I, Daniel Blake (2016) ",42,2016,7.9,Magnificent! One of Loach's very best. Demands to be seen!                ,N/A,15793051
Lights Out (2016) ,43,2016,6.3,You were right to be afraid of the dark.                ,4900000,148868835
The Innocents (2016) ,44,2016,7.3,Powerful and moving. Examines every moral crevice of an unthinkable scenario.                ,EUR6000000,7400324
Rogue One: A Star Wars Story (2016) ,45,2016,7.8,Save the Rebellion. Save the dream.                ,200000000,1056057720
13 Hours (2016) ,46,2016,7.3,When everything went wrong six men had the courage to do what was right                ,50000000,69411370
Fantastic Beasts and Where to Find Them (2016) ,47,2016,7.3,From J.K. Rowling's wizarding world.                ,180000000,814044001
The Autopsy of Jane Doe (2016) ,48,2016,6.8,Every body has a secret.                ,N/A,6170043
American Honey (2016) ,49,2016,7,Optimistic and just plain beautiful. A film for this generation!                ,N/A,2290649
The Founder (2016) ,50,2016,7.2,Risk taker. Rule breaker. Game changer.                ,25000000,24121245
